sub_category,broad_category	
Perfume,Fragrance
Cologne,Fragrance
Eye Palettes,Makeup
Lipstick,Makeup
Highlighter,Makeup
Foundation,Makeup
Mascara,Makeup
Eyeliner,Makeup
Makeup,Makeup
Eyeshadow,Makeup
Moisturizers,Skincare
Face Serums,Skincare
Face Wash & Cleansers,Skincare
Face Masks,Skincare
Face Primer,Skincare
Body Lotions & Body Oils,Skincare
Lotions & Oils,Skincare
